indice_original,categoria_real,prediccion_v1_0,prediccion_v1_1,correcta_v1_0,correcta_v1_1,prediccion_cambio,corregido_por_v1_1,empeorado_por_v1_1
2136,backend,backend,backend,True,True,False,False,False
1639,cloud,cloud,cloud,True,True,False,False,False
3990,frontend,frontend,frontend,True,True,False,False,False
4332,backend,backend,backend,True,True,False,False,False
1932,cloud,cloud,cloud,True,True,False,False,False
2447,datascience,datascience,datascience,True,True,False,False,False
3239,datascience,datascience,datascience,True,True,False,False,False
3045,datascience,datascience,datascience,True,True,False,False,False
3630,frontend,frontend,frontend,True,True,False,False,False
3304,backend,backend,backend,True,True,False,False,False
4226,datascience,datascience,datascience,True,True,False,False,False
3799,cloud,cloud,cloud,True,True,False,False,False
2439,frontend,frontend,cloud,True,False,True,False,True
292,backend,backend,datascience,True,False,True,False,True
1988,backend,backend,backend,True,True,False,False,False
2255,frontend,frontend,frontend,True,True,False,False,False
2324,datascience,datascience,datascience,True,True,False,False,False
956,backend,backend,backend,True,True,False,False,False
3782,datascience,datascience,datascience,True,True,False,False,False
982,datascience,datascience,datascience,True,True,False,False,False
3346,cloud,cloud,cloud,True,True,False,False,False
1167,cloud,cloud,cloud,True,True,False,False,False
3896,cloud,backend,backend,False,False,False,False,False
812,backend,backend,backend,True,True,False,False,False
4444,datascience,datascience,datascience,True,True,False,False,False
1559,frontend,frontend,frontend,True,True,False,False,False
1712,cloud,cloud,cloud,True,True,False,False,False
1891,backend,backend,backend,True,True,False,False,False
2812,backend,backend,backend,True,True,False,False,False
1048,backend,backend,backend,True,True,False,False,False
611,cloud,cloud,cloud,True,True,False,False,False
3568,cloud,cloud,cloud,True,True,False,False,False
1517,backend,backend,backend,True,True,False,False,False
3948,datascience,datascience,datascience,True,True,False,False,False
4040,frontend,frontend,frontend,True,True,False,False,False
722,frontend,frontend,backend,True,False,True,False,True
334,frontend,frontend,frontend,True,True,False,False,False
4017,backend,backend,datascience,True,False,True,False,True
4090,cloud,cloud,cloud,True,True,False,False,False
509,cloud,cloud,cloud,True,True,False,False,False
4194,cloud,cloud,cloud,True,True,False,False,False
1331,frontend,frontend,frontend,True,True,False,False,False
3628,backend,backend,backend,True,True,False,False,False
433,frontend,frontend,frontend,True,True,False,False,False
738,backend,backend,backend,True,True,False,False,False
511,datascience,datascience,datascience,True,True,False,False,False
1230,frontend,frontend,frontend,True,True,False,False,False
4517,backend,backend,backend,True,True,False,False,False
30,backend,backend,backend,True,True,False,False,False
780,backend,backend,backend,True,True,False,False,False
4057,frontend,frontend,frontend,True,True,False,False,False
368,datascience,datascience,datascience,True,True,False,False,False
2563,frontend,frontend,frontend,True,True,False,False,False
3182,backend,backend,backend,True,True,False,False,False
4000,datascience,datascience,datascience,True,True,False,False,False
1715,frontend,backend,backend,False,False,False,False,False
44,datascience,datascience,datascience,True,True,False,False,False
999,datascience,datascience,datascience,True,True,False,False,False
