termino,categoria,coeficiente
de,backend,0.6312067936110418
de,cloud,0.22274397979533625
de,datascience,0.5741888073290234
de,frontend,-1.1455118799207256
para,backend,0.8312649318613804
para,cloud,0.19268580434668825
para,datascience,0.16926292491018102
para,frontend,-0.6620631220653752
con,backend,0.5991434472235749
con,cloud,0.016131576016625092
con,datascience,-0.2812642144946747
con,frontend,-0.11246571627848473
un,backend,0.6062600141677217
un,cloud,-0.2959503515218684
un,datascience,0.042437605084005466
un,frontend,-0.26094242756444896
como,backend,0.22703686477878526
como,cloud,-0.10265441127806245
como,datascience,-0.2146783231703396
como,frontend,-0.10949558879088529
a,backend,0.7410059244573256
a,cloud,-0.3537873202131674
a,datascience,-0.3745028313234671
a,frontend,0.11418386769934011
y,backend,-0.20511586283786593
y,cloud,0.739602154838808
y,datascience,0.003246554693295599
y,frontend,0.02573625871793888
el,backend,0.43667486467857347
el,cloud,0.6676417677234588
el,datascience,-0.6616883482784248
el,frontend,-0.42115762964869047
una,backend,0.13552170236305255
una,cloud,0.2666203749663235
una,datascience,0.15808922639139847
una,frontend,-0.3058409208548419
